spec,n,r2,adj_r2,aic,catchment_coef,catchment_se,catchment_t,catchment_p,residential_coef,residential_se,city,country,entropy_type,geo_catch_coef,geo_catch_se,centrality_coef,centrality_se,density_coef,density_se
Full,3229,0.02227703638218148,0.019238742523829067,-12986.093987353064,0.464360450154345,0.13705943074323143,3.3880226091430568,0.0007124460071602732,0.035388827880922236,0.007357521977981588,Sweden - Uppsala,Sweden,income,0.02345563058543121,0.028434520284443706,-0.0002379463468411558,0.0003649259283800688,-1.1762375597731967e-05,2.298551404063891e-06
Base,2212,0.022823366559264535,0.019719811008409138,-10369.734314445177,0.2710766195945098,0.048663963968721254,5.570376876177703,2.851954204275542e-08,0.03126184817858757,0.012182822782891928,Sweden - Västerås,Sweden,income,,,,,,
+ Geo Catchment,2212,0.02304522522420205,0.019497500213667918,-10368.236585036484,0.2847619351086905,0.05237443738525994,5.437040459528313,6.016230415166688e-08,0.03680662820428893,0.01448824078386199,Sweden - Västerås,Sweden,income,-0.020624234962724586,0.02915879895458171,,,,
+ Geo + Centrality,2212,0.023753360734165008,0.01976325185433181,-10367.840511600749,0.29323124148595525,0.052794374639049714,5.554213748922121,3.125108522297341e-08,0.033288116434675885,0.014751372165047898,Sweden - Västerås,Sweden,income,-0.00544463093729064,0.031531974008238914,0.0003343393931167782,0.0002645455630345488,,
Full,2212,0.02377322607563781,0.019337847729775204,-10365.88552336382,0.2927568625234471,0.05285338229521862,5.539037424099373,3.404443481379343e-08,0.03378078789705796,0.014937094577967679,Sweden - Västerås,Sweden,income,-0.005411093271050049,0.03153921353229841,0.0002955977366543294,0.00032175457450662776,-6.569573540934903e-07,3.104234327490584e-06
Base,2376,0.0036581839131601956,0.0007129167203359099,-12009.43092911884,0.07108654208855114,0.06510267429925887,1.0919143161736506,0.2749818441797074,0.01638633191350891,0.008794128696200887,Sweden - Örebro,Sweden,income,,,,,,
+ Geo Catchment,2376,0.00640973787969723,0.0030515958868951865,-12014.00170252634,0.0280162031749569,0.06716725195794607,0.41711105275675203,0.6766350066731175,0.007294109261380299,0.009474562413853272,Sweden - Örebro,Sweden,income,0.051813894318001985,0.020237727863317657,,,,
+ Geo + Centrality,2376,0.006412561067864253,0.002633065315375105,-12012.008453704235,0.027561253058593138,0.0674100995618381,0.4088594029342747,0.6826798469791503,0.007286754364201897,0.009476975507280378,Sweden - Örebro,Sweden,income,0.05221107961142479,0.02081354135577165,7.483843101674381e-06,9.127470488880269e-05,,
Full,2376,0.006743974481501325,0.002544160420112407,-12010.801106263127,0.022594099508751242,0.06764460649361372,0.3340118404101344,0.7384002377442023,0.005565178664767245,0.009673518241732923,Sweden - Örebro,Sweden,income,0.04646686259866328,0.02179578202268862,2.7903998354394943e-05,9.412881034809097e-05,1.480475720710972e-06,1.6665996261811373e-06
Base,2315,0.04666757211845496,0.043774929294367104,-9602.920692760777,0.022117262379481417,0.056664752884184065,0.39031781228599793,0.6963375886085638,0.06888178288873803,0.006948119460115046,Sweden - Linköping,Sweden,income,,,,,,
